id,battery_level,device_id,last_seen,latitude,longitude,major,minor,name,relative,role_group_id,uuid
"154,467,616",,0,,47.84,12.88,1,22,W10t_Demo-1-22,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,618",100,0,"January 25, 2025, 9:53 AM",49.68,12.2,1,15,W10T_A7H_B-1-15 Bürste,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,604",100,0,"January 25, 2025, 9:44 AM",49.68,12.2,1,13,W10T_A7H_B-1-13,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,606",,0,,47.84,12.88,1,10,W10t_Demo-1-10,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,600",99,0,"January 25, 2025, 10:27 AM",49.68,12.2,1,1,W10T_A7H_B-1-1,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,608",99,0,"January 25, 2025, 9:52 AM",49.68,12.2,1,5,W10T_A7H_B-1-5,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,610",10,0,"December 12, 2024, 11:11 AM",49.68,12.2,1,11,W10T_A7H_B-1-11,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,588",,0,,47.84,12.88,1,2,W10t_Demo-1-2,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,590",,0,,47.84,12.88,1,13,W10t_Demo-1-13,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,584",,0,,47.84,12.88,"65,535","2,367",bz2367-65535-2367,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,586",99,0,"December 12, 2024, 4:01 PM",49.68,12.2,1,19,W10T_A7H_B-1-19 Tränke,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,596",,0,,49.68,12.2,1,20,W10T_A7H_B-1-20 ,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,598",,0,,47.84,12.88,1,7,W10t_Demo-1-7,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,592",99,0,"January 25, 2025, 9:53 AM",49.68,12.2,1,14,W10T_A7H_B-1-14,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,594",,0,,47.84,12.88,1,6,W10t_Demo-1-6,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,508",99,0,"January 25, 2025, 10:31 AM",49.68,12.2,1,3,W10T_A7H_B-1-3,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,510",100,0,"January 25, 2025, 10:18 AM",49.68,12.2,1,18,W10T_A7H_B-1-18 Tränke,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,504",,0,,49.68,12.2,1,24,W10T_A7H_B-1-24,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,506",,0,,47.84,12.88,1,25,W10t_Demo-1-25,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,516",,0,,47.84,12.88,1,15,W10t_Demo-1-15,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,518",,0,,47.84,12.88,1,16,W10t_Demo-1-16,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,512",,0,,47.84,12.88,1,18,W10t_Demo-1-18,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,514",,0,,49.68,12.2,1,22,W10T_A7H_B-1-22,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,500",99,0,"January 25, 2025, 10:24 AM",49.68,12.2,1,17,W10T_A7H_B-1-17,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,502",,0,,47.84,12.88,1,19,W10t_Demo-1-19,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,574",5,0,"December 11, 2024, 2:44 PM",49.68,12.2,1,4,W10T_A7H_B-1-4,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,568",100,0,"January 25, 2025, 10:07 AM",49.68,12.2,1,6,W10T_A7H_B-1-6,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,570",,0,,47.84,12.88,1,20,W10t_Demo-1-20,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,582",,0,,49.68,12.2,1,25,W10T_A7H_B-1-25,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,576",,0,,49.68,12.2,1,28,W10T_A7H_B-1-28,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,578",99,0,"January 25, 2025, 9:44 AM",49.68,12.2,1,12,W10T_A7H_B-1-12,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,556",99,0,"January 25, 2025, 10:34 AM",49.68,12.2,1,16,W10T_A7H_B-1-16,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,558",,0,,47.84,12.88,1,3,W10t_Demo-1-3,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,552",100,0,"January 25, 2025, 10:03 AM",49.68,12.2,1,7,W10T_A7H_B-1-7,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,554",,0,,49.68,12.2,1,21,W10T_A7H_B-1-21,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,564",,0,,47.84,12.88,1,23,W10t_Demo-1-23,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,566",,0,,49.68,12.2,1,27,W10T_A7H_B-1-27,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,560",99,0,"July 22, 2024, 11:10 AM",49.68,12.2,1,8,W10T_A7H_B-1-8 AMS,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,562",100,0,"January 25, 2025, 10:28 AM",49.68,12.2,1,2,W10T_A7H_B-1-2,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,540",,0,,47.84,12.88,1,12,W10t_Demo-1-12,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,538",,0,,49.68,12.2,1,29,W10T_A7H_B-1-29,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,548",,0,,47.84,12.88,1,5,W10t_Demo-1-5,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,550",,0,,49.68,12.2,1,26,W10T_A7H_B-1-26,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,544",,0,,47.84,12.88,1,24,W10t_Demo-1-24,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,546",,0,,47.84,12.88,1,1,W10t_Demo-1-1,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,526",,0,,47.84,12.88,1,17,W10t_Demo-1-17,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,520",,0,,47.84,12.88,1,4,W10t_Demo-1-4,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,522",,0,,49.68,12.2,1,30,W10T_A7H_B-1-30,false,"154,466,085",2f75105260d66101776a34279783a327
"154,467,532",,0,,47.84,12.88,1,11,W10t_Demo-1-11,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
"154,467,528",,0,,47.84,12.88,1,14,W10t_Demo-1-14,false,"154,466,089",a1cb8b7b5adb02fc868f000987c4c4a8
